run_id,simulation_id,model,seed,scale_plume_factor,scale_mass_factor,plume_prior_mean,logm_prior_mean,plume_estimate,logm_estimate,best_posterior,runtime_sec,n_ens,n_assimilations,likelihood_sigma,print_every
112,0,es,20251236,2.5,0.4,18750.0,23.7189981105004,7497.861623032746,24.51800614573929,,,1000,5,0.6,1
93,0,es,20251217,2.5,0.5,18750.0,23.942141661814613,7350.604451424209,24.553004161771156,,,100,1,0.6,1
94,0,es,20251218,2.5,0.5,18750.0,23.942141661814613,8338.930071119217,24.555323902418618,,,100,5,0.6,1
95,0,es,20251219,2.5,0.5,18750.0,23.942141661814613,9593.673009619935,24.682538789142683,,,1000,1,0.6,1
96,0,es,20251220,2.5,0.5,18750.0,23.942141661814613,7498.739275779689,24.517677762118012,,,1000,5,0.6,1
77,0,es,20251201,2.5,0.6666666666666666,18750.0,24.229823734266393,7350.604451424209,24.550195409071183,,,100,1,0.6,1
78,0,es,20251202,2.5,0.6666666666666666,18750.0,24.229823734266393,8339.189284142165,24.554905504122477,,,100,5,0.6,1
79,0,es,20251203,2.5,0.6666666666666666,18750.0,24.229823734266393,9597.775880111143,24.680390890131942,,,1000,1,0.6,1
80,0,es,20251204,2.5,0.6666666666666666,18750.0,24.229823734266393,7499.830404535938,24.517262257730756,,,1000,5,0.6,1
61,0,es,20251185,2.5,1.0,18750.0,24.635288842374557,7350.604451424209,24.546163098594988,,,100,1,0.6,1
62,0,es,20251186,2.5,1.0,18750.0,24.635288842374557,8339.353484337018,24.554344708572696,,,100,5,0.6,1
63,0,es,20251187,2.5,1.0,18750.0,24.635288842374557,9602.934170340295,24.6773204376788,,,1000,1,0.6,1
64,0,es,20251188,2.5,1.0,18750.0,24.635288842374557,7501.405877077623,24.51668527335376,,,1000,5,0.6,1
45,0,es,20251169,2.5,1.5,18750.0,25.04075395048272,7350.604451424209,24.542113820380607,,,100,1,0.6,1
46,0,es,20251170,2.5,1.5,18750.0,25.04075395048272,8339.480021541889,24.55377819784536,,,100,5,0.6,1
47,0,es,20251171,2.5,1.5,18750.0,25.04075395048272,9607.765616281691,24.674224405838338,,,1000,1,0.6,1
48,0,es,20251172,2.5,1.5,18750.0,25.04075395048272,7503.029115495673,24.51611138286265,,,1000,5,0.6,1
29,0,es,20251153,2.5,2.0,18750.0,25.328436022934504,7350.604451424209,24.539226806291563,,,100,1,0.6,1
30,0,es,20251154,2.5,2.0,18750.0,25.328436022934504,8339.539517948795,24.55337692501349,,,100,5,0.6,1
31,0,es,20251155,2.5,2.0,18750.0,25.328436022934504,9610.89933733876,24.672006964588164,,,1000,1,0.6,1
32,0,es,20251156,2.5,2.0,18750.0,25.328436022934504,7504.17647142187,24.515712108360756,,,1000,5,0.6,1
13,0,es,20251137,2.5,2.5,18750.0,25.551579574248713,7350.604451424209,24.53700338627367,,,100,1,0.6,1
14,0,es,20251138,2.5,2.5,18750.0,25.551579574248713,8339.585210634974,24.553055088192096,,,100,5,0.6,1
15,0,es,20251139,2.5,2.5,18750.0,25.551579574248713,9613.25240139055,24.6702790035798,,,1000,1,0.6,1
16,0,es,20251140,2.5,2.5,18750.0,25.551579574248713,7505.063908607508,24.51540487634165,,,1000,5,0.6,1
